suburb,sale_date,price,property_type,bedrooms,bathrooms,car_spaces,land_size_m2,building_size_m2,sale_method,listing_url,description
Chatswood,2026-02-27,2950000,House,5,3,2,822,,,https://www.realestate.com.au/property/42-hawthorne-avenue-chatswood-nsw-2067,"42 Hawthorne Avenue — 5-bed, 3-bath, house, 2 car spaces, 822 m² reported area."
Chatswood,2026-02-23,2425000,House,4,2,2,,,,https://www.realestate.com.au/property/75-dalrymple-avenue-chatswood-nsw-2067,"75 Dalrymple Avenue — 4-bed, 2-bath, house, 2 car spaces."
Chatswood,2026-02-14,4025000,House,4,4,2,714,,,https://www.realestate.com.au/property/10-hawthorne-avenue-chatswood-nsw-2067,"10 Hawthorne Avenue — 4-bed, 4-bath, house, 2 car spaces, 714 m² reported area."
Chatswood,2026-02-04,3300000,House,5,3,2,607,,,https://www.realestate.com.au/property/17-moola-parade-chatswood-nsw-2067,"17 Moola Parade — 5-bed, 3-bath, house, 2 car spaces, 607 m² reported area."
Chatswood,2026-01-21,4250000,House,5,3,3,797,,,https://www.realestate.com.au/property/30-view-street-chatswood-nsw-2067,"30 View Street — 5-bed, 3-bath, house, 3 car spaces, 797 m² reported area."
Chatswood,2025-12-12,3570000,House,3,1,2,562.8,,,https://www.realestate.com.au/property/27-harwood-avenue-chatswood-nsw-2067,"27 Harwood Avenue — 3-bed, 1-bath, house, 2 car spaces, 562.8 m² reported area."
Chatswood,2025-12-12,2675000,House,4,2,1,885,,,https://www.realestate.com.au/property/23-cramer-crescent-chatswood-nsw-2067,"23 Cramer Crescent — 4-bed, 2-bath, house, 1 car space, 885 m² reported area."
Chatswood,2025-12-09,1900000,House,3,2,1,445,,,https://www.realestate.com.au/property/25b-greville-street-chatswood-nsw-2067,"25B Greville Street — 3-bed, 2-bath, house, 1 car space, 445 m² reported area."
Chatswood,2025-12-01,3350000,House,5,3,4,955,,,https://www.realestate.com.au/property/9-sharland-avenue-chatswood-nsw-2067,"9 Sharland Avenue — 5-bed, 3-bath, house, 4 car spaces, 955 m² reported area."
Chatswood,2025-11-26,4150000,House,5,4,3,770,,,https://www.realestate.com.au/property/28-greville-street-chatswood-nsw-2067,"28 Greville Street — 5-bed, 4-bath, house, 3 car spaces, 770 m² reported area."
Chatswood,2025-11-21,1950000,House,3,2,4,344,,,https://www.realestate.com.au/property/13a-kooba-avenue-chatswood-nsw-2067,"13A Kooba Avenue — 3-bed, 2-bath, house, 4 car spaces, 344 m² reported area."
Chatswood,2025-11-08,5900000,House,5,3,5,,,,https://www.realestate.com.au/property/3-blakesley-street-chatswood-nsw-2067,"3 Blakesley Street — 5-bed, 3-bath, house, 5 car spaces."
Chatswood,2025-11-08,4260000,House,3,2,2,575.4,,,https://www.realestate.com.au/property/14-saywell-street-chatswood-nsw-2067,"14 Saywell Street — 3-bed, 2-bath, house, 2 car spaces, 575.4 m² reported area."
Chatswood,2025-11-04,6100000,House,5,2,5,2384,,,https://www.realestate.com.au/property/6-beaconsfield-road-chatswood-nsw-2067,"6 Beaconsfield Road — 5-bed, 2-bath, house, 5 car spaces, 2384 m² reported area."
Chatswood,2025-11-04,3400000,House,3,2,2,556.4,,,https://www.realestate.com.au/property/12-jenkins-street-chatswood-nsw-2067,"12 Jenkins Street — 3-bed, 2-bath, house, 2 car spaces, 556.4 m² reported area."
Chatswood,2025-11-01,4820000,House,4,2,2,556.4,,,https://www.realestate.com.au/property/35-hercules-street-chatswood-nsw-2067,"35 Hercules Street — 4-bed, 2-bath, house, 2 car spaces, 556.4 m² reported area."
Chatswood,2025-10-25,3505000,House,4,3,2,,,,https://www.realestate.com.au/property/53-hawthorne-avenue-chatswood-nsw-2067,"53 Hawthorne Avenue — 4-bed, 3-bath, house, 2 car spaces."
Chatswood,2025-10-23,7950000,House,5,3,4,992.7,,,https://www.realestate.com.au/property/21-beauchamp-avenue-chatswood-nsw-2067,"21 Beauchamp Avenue — 5-bed, 3-bath, house, 4 car spaces, 992.7 m² reported area."
Chatswood,2025-10-17,5960000,House,4,2,2,923.2,,,https://www.realestate.com.au/property/9-archer-street-chatswood-nsw-2067,"9 Archer Street — 4-bed, 2-bath, house, 2 car spaces, 923.2 m² reported area."
Chatswood,2025-10-17,2200000,House,4,2,2,591,,,https://www.realestate.com.au/property/14-river-avenue-chatswood-nsw-2067,"14 River Avenue — 4-bed, 2-bath, house, 2 car spaces, 591 m² reported area."
Chatswood,2025-10-07,5100000,House,5,4,3,556,,,https://www.realestate.com.au/property/2-blakesley-street-chatswood-nsw-2067,"2 Blakesley Street — 5-bed, 4-bath, house, 3 car spaces, 556 m² reported area."
Castle Hill,2026-09-18,1390000,Villa,3,2,2,,,,https://www.realestate.com.au/property/46-73-crane-road-castle-hill-nsw-2154,"46/73 Crane Road — 3-bed, 2-bath, villa, 2 car spaces."
Castle Hill,2026-09-18,895000,Apartment,2,2,2,,140,,https://www.realestate.com.au/property/13-44-46-cecil-avenue-castle-hill-nsw-2154,"13/44-46 Cecil Avenue — 2-bed, 2-bath, apartment, 2 car spaces, 140 m² reported area."
Castle Hill,2026-09-17,1955000,House,4,2,2,695.6,,,https://www.realestate.com.au/property/11-brunette-drive-castle-hill-nsw-2154,"11 Brunette Drive — 4-bed, 2-bath, house, 2 car spaces, 695.6 m² reported area."
Castle Hill,2026-09-14,2300000,House,4,3,3,923,,,https://www.realestate.com.au/property/28-ferguson-avenue-castle-hill-nsw-2154,"28 Ferguson Avenue — 4-bed, 3-bath, house, 3 car spaces, 923 m² reported area."
Castle Hill,2026-09-11,5200000,House,5,5,6,1284.2,,,https://www.realestate.com.au/property/60-womurrung-avenue-castle-hill-nsw-2154,"60 Womurrung Avenue — 5-bed, 5-bath, house, 6 car spaces, 1284.2 m² reported area."
Castle Hill,2026-09-11,2900000,House,5,3,3,900,,,https://www.realestate.com.au/property/6-woodvale-place-castle-hill-nsw-2154,"6 Woodvale Place — 5-bed, 3-bath, house, 3 car spaces, 900 m² reported area."
Castle Hill,2026-09-11,825000,Apartment,2,2,2,,145,,https://www.realestate.com.au/property/25-1-11-rosa-crescent-castle-hill-nsw-2154,"25/1-11 Rosa Crescent — 2-bed, 2-bath, apartment, 2 car spaces, 145 m² reported area."
Castle Hill,2026-09-10,2315000,House,5,3,2,802,,,https://www.realestate.com.au/property/135-ridgecrop-drive-castle-hill-nsw-2154,"135 Ridgecrop Drive — 5-bed, 3-bath, house, 2 car spaces, 802 m² reported area."
Castle Hill,2026-09-09,1180000,Townhouse,3,2,2,231,,,https://www.realestate.com.au/property/75-59a-castle-street-castle-hill-nsw-2154,"75/59a Castle Street — 3-bed, 2-bath, townhouse, 2 car spaces, 231 m² reported area."
Castle Hill,2026-09-09,970000,Apartment,2,2,2,,140,,https://www.realestate.com.au/property/29-15-19-hume-avenue-castle-hill-nsw-2154,"29/15-19 Hume Avenue — 2-bed, 2-bath, apartment, 2 car spaces, 140 m² reported area."
Castle Hill,2026-09-09,945000,Villa,2,1,1,193,,,https://www.realestate.com.au/property/6-10-church-street-castle-hill-nsw-2154,"6/10 Church Street — 2-bed, 1-bath, villa, 1 car space, 193 m² reported area."
Castle Hill,2026-09-05,1020000,Apartment,2,2,2,,194,,https://www.realestate.com.au/property/15-1-5-mercer-street-castle-hill-nsw-2154,"15/1-5 Mercer Street — 2-bed, 2-bath, apartment, 2 car spaces, 194 m² reported area."
Castle Hill,2026-09-04,1140000,Apartment,3,2,2,,,,https://www.realestate.com.au/property/22-49-55-cecil-avenue-castle-hill-nsw-2154,"22/49-55 Cecil Avenue — 3-bed, 2-bath, apartment, 2 car spaces."
Castle Hill,2026-09-04,935000,Apartment,2,2,1,,,,https://www.realestate.com.au/property/9-2-4-purser-avenue-castle-hill-nsw-2154,"9/2-4 Purser Avenue — 2-bed, 2-bath, apartment, 1 car space."
Castle Hill,2026-08-31,855000,Unit,2,2,1,,89,,https://www.realestate.com.au/property/307-11-fishburn-crescent-castle-hill-nsw-2154,"307/11 Fishburn Crescent — 2-bed, 2-bath, unit, 1 car space, 89 m² reported area."
Castle Hill,2026-08-29,2560000,House,5,3,2,950,,,https://www.realestate.com.au/property/19-galahad-crescent-castle-hill-nsw-2154,"19 Galahad Crescent — 5-bed, 3-bath, house, 2 car spaces, 950 m² reported area."
Castle Hill,2026-08-26,2450000,House,5,3,2,741,,,https://www.realestate.com.au/property/12-barcote-place-castle-hill-nsw-2154,"12 Barcote Place — 5-bed, 3-bath, house, 2 car spaces, 741 m² reported area."
Castle Hill,2026-08-25,3550000,House,5,5,4,923,,,https://www.realestate.com.au/property/61-cambewarra-avenue-castle-hill-nsw-2154,"61 Cambewarra Avenue — 5-bed, 5-bath, house, 4 car spaces, 923 m² reported area."
Castle Hill,2026-08-25,1150000,Apartment,3,2,2,,187,,https://www.realestate.com.au/property/10-2-4-purser-avenue-castle-hill-nsw-2154,"10/2-4 Purser Avenue — 3-bed, 2-bath, apartment, 2 car spaces, 187 m² reported area."
Castle Hill,2026-08-24,3300000,House,6,5,3,728,,,https://www.realestate.com.au/property/3-marriott-grove-castle-hill-nsw-2154,"3 Marriott Grove — 6-bed, 5-bath, house, 3 car spaces, 728 m² reported area."
Castle Hill,2026-08-24,2700000,House,4,3,2,902,,,https://www.realestate.com.au/property/19-clarke-place-castle-hill-nsw-2154,"19 Clarke Place — 4-bed, 3-bath, house, 2 car spaces, 902 m² reported area."
Castle Hill,2026-08-20,2776000,House,4,2,3,916,,,https://www.realestate.com.au/property/57-church-street-castle-hill-nsw-2154,"57 Church Street — 4-bed, 2-bath, house, 3 car spaces, 916 m² reported area."
Castle Hill,2026-08-19,2655000,House,6,4,3,700.4,,,https://www.realestate.com.au/property/111-chepstow-drive-castle-hill-nsw-2154,"111 Chepstow Drive — 6-bed, 4-bath, house, 3 car spaces, 700.4 m² reported area."
Castle Hill,2026-08-18,1300000,Duplex/semi-detached,3,2,2,229,,,https://www.realestate.com.au/property/96-harrington-avenue-castle-hill-nsw-2154,"96 Harrington Avenue — 3-bed, 2-bath, duplex/semi-detached, 2 car spaces, 229 m² reported area."
Castle Hill,2026-08-13,632000,Apartment,1,1,1,,,,https://www.realestate.com.au/property/405-27-ashford-avenue-castle-hill-nsw-2154,"405/27 Ashford Avenue — 1-bed, 1-bath, apartment, 1 car space."
Castle Hill,2026-08-11,1800000,Duplex/semi-detached,4,3,2,403.6,,,https://www.realestate.com.au/property/55b-first-farm-drive-castle-hill-nsw-2154,"55B First Farm Drive — 4-bed, 3-bath, duplex/semi-detached, 2 car spaces, 403.6 m² reported area."
Castle Hill,2026-08-09,1060000,Apartment,2,2,2,,,,https://www.realestate.com.au/property/502-11-fishburn-crescent-castle-hill-nsw-2154,"502/11 Fishburn Crescent — 2-bed, 2-bath, apartment, 2 car spaces."
Castle Hill,2026-08-08,2720000,House,6,3,4,905,,,https://www.realestate.com.au/property/5-kincraig-court-castle-hill-nsw-2154,"5 Kincraig Court — 6-bed, 3-bath, house, 4 car spaces, 905 m² reported area."
Castle Hill,2026-08-08,2305000,House,5,2,2,929.5,,,https://www.realestate.com.au/property/2-cumberland-avenue-castle-hill-nsw-2154,"2 Cumberland Avenue — 5-bed, 2-bath, house, 2 car spaces, 929.5 m² reported area."
Castle Hill,2026-08-07,2260000,House,5,2,2,761,,,https://www.realestate.com.au/property/7-heron-court-castle-hill-nsw-2154,"7 Heron Court — 5-bed, 2-bath, house, 2 car spaces, 761 m² reported area."
Castle Hill,2026-08-07,1420000,Townhouse,3,2,2,293,,,https://www.realestate.com.au/property/5-2-8-susan-parade-castle-hill-nsw-2154,"5/2-8 Susan Parade — 3-bed, 2-bath, townhouse, 2 car spaces, 293 m² reported area."
Castle Hill,2026-08-06,2650000,House,6,3,3,886.6,,,https://www.realestate.com.au/property/3-stringybark-place-castle-hill-nsw-2154,"3 Stringybark Place — 6-bed, 3-bath, house, 3 car spaces, 886.6 m² reported area."
Castle Hill,2026-08-06,1725000,House,4,2,2,475,,,https://www.realestate.com.au/property/175-wrights-road-castle-hill-nsw-2154,"175 Wrights Road — 4-bed, 2-bath, house, 2 car spaces, 475 m² reported area."
Castle Hill,2026-08-06,895000,Apartment,,,,,,,https://www.realestate.com.au/property/29-2-6-sherwin-avenue-castle-hill-nsw-2154,29/2-6 Sherwin Avenue — apartment.
Blacktown,2026-09-17,1350000,House,5,3,3,338,,,https://www.realestate.com.au/property/40-stephen-street-blacktown-nsw-2148,"40 Stephen Street — 5-bed, 3-bath, house, 3 car spaces, 338 m² reported area."
Blacktown,2026-09-17,900000,House,3,1,3,556,,,https://www.realestate.com.au/property/199-flushcombe-road-blacktown-nsw-2148,"199 Flushcombe Road — 3-bed, 1-bath, house, 3 car spaces, 556 m² reported area."
Blacktown,2026-09-17,750000,Townhouse,3,2,1,,,,https://www.realestate.com.au/property/15-41-st-martins-crescent-blacktown-nsw-2148,"15/41 St Martins Crescent — 3-bed, 2-bath, townhouse, 1 car space."
Blacktown,2026-09-16,765000,Townhouse,3,2,1,,,,https://www.realestate.com.au/property/1-huntley-drive-blacktown-nsw-2148,"1 Huntley Drive — 3-bed, 2-bath, townhouse, 1 car space."
Blacktown,2026-09-15,1135000,House,3,2,4,765,,,https://www.realestate.com.au/property/7-highlands-crescent-blacktown-nsw-2148,"7 Highlands Crescent — 3-bed, 2-bath, house, 4 car spaces, 765 m² reported area."
Blacktown,2026-09-15,1105000,House,4,2,2,,,,https://www.realestate.com.au/property/81-reservoir-road-blacktown-nsw-2148,"81 Reservoir Road — 4-bed, 2-bath, house, 2 car spaces."
Blacktown,2026-09-11,1260000,House,5,3,6,,,,https://www.realestate.com.au/property/42-burke-street-blacktown-nsw-2148,"42 Burke Street — 5-bed, 3-bath, house, 6 car spaces."
Blacktown,2026-09-10,650000,Townhouse,2,1,1,,,,https://www.realestate.com.au/property/2-15-balmoral-street-blacktown-nsw-2148,"2/15 Balmoral Street — 2-bed, 1-bath, townhouse, 1 car space."
Blacktown,2026-09-10,441000,Apartment,2,1,1,,,,https://www.realestate.com.au/property/20-5-9-fourth-avenue-blacktown-nsw-2148,"20/5-9 Fourth Avenue — 2-bed, 1-bath, apartment, 1 car space."
Blacktown,2026-09-10,415000,Unit,2,1,1,,103,,https://www.realestate.com.au/property/36-2-4-fourth-avenue-blacktown-nsw-2148,"36/2-4 Fourth Avenue — 2-bed, 1-bath, unit, 1 car space, 103 m² reported area."
Blacktown,2026-09-02,375000,Apartment,1,1,1,,,,https://www.realestate.com.au/property/11-130-main-street-blacktown-nsw-2148,"11/130 Main Street — 1-bed, 1-bath, apartment, 1 car space."
Blacktown,2026-08-28,1480000,House,5,3,4,563,,,https://www.realestate.com.au/property/38-38a-burrell-parade-blacktown-nsw-2148,"38-38A Burrell Parade — 5-bed, 3-bath, house, 4 car spaces, 563 m² reported area."
Blacktown,2026-08-28,540000,Apartment,2,2,1,,,,https://www.realestate.com.au/property/2002-1-boys-avenue-blacktown-nsw-2148,"2002/1 Boys Avenue — 2-bed, 2-bath, apartment, 1 car space."
Blacktown,2026-08-28,456000,Apartment,2,1,1,,,,https://www.realestate.com.au/property/21-25-27-fourth-avenue-blacktown-nsw-2148,"21/25-27 Fourth Avenue — 2-bed, 1-bath, apartment, 1 car space."
Blacktown,2026-08-26,1500000,House,5,3,2,,,,https://www.realestate.com.au/property/39-burke-street-blacktown-nsw-2148,"39 Burke Street — 5-bed, 3-bath, house, 2 car spaces."
Blacktown,2026-08-26,1062500,House,3,1,1,575.4,,,https://www.realestate.com.au/property/19-stephen-street-blacktown-nsw-2148,"19 Stephen Street — 3-bed, 1-bath, house, 1 car space, 575.4 m² reported area."
Blacktown,2026-08-26,452000,Apartment,2,2,1,,,,https://www.realestate.com.au/property/73-31-third-avenue-blacktown-nsw-2148,"73/31 Third Avenue — 2-bed, 2-bath, apartment, 1 car space."
Blacktown,2026-08-25,805000,Townhouse,2,2,1,,,,https://www.realestate.com.au/property/7-45-lyton-street-blacktown-nsw-2148,"7/45 Lyton Street — 2-bed, 2-bath, townhouse, 1 car space."
Blacktown,2026-08-25,459000,Unit,2,1,1,,,,https://www.realestate.com.au/property/4-3-5-boyd-street-blacktown-nsw-2148,"4/3-5 Boyd Street — 2-bed, 1-bath, unit, 1 car space."
Blacktown,2026-08-24,1150000,House,3,1,1,670,,,https://www.realestate.com.au/property/130-bungarribee-road-blacktown-nsw-2148,"130 Bungarribee Road — 3-bed, 1-bath, house, 1 car space, 670 m² reported area."
Blacktown,2026-08-24,1007500,House,3,2,4,651,,,https://www.realestate.com.au/property/36-bedford-road-blacktown-nsw-2148,"36 Bedford Road — 3-bed, 2-bath, house, 4 car spaces, 651 m² reported area."
Blacktown,2026-08-24,790000,Townhouse,2,2,1,126,,,https://www.realestate.com.au/property/6-fringe-glade-blacktown-nsw-2148,"6 Fringe Glade — 2-bed, 2-bath, townhouse, 1 car space, 126 m² reported area."
Blacktown,2026-08-24,600000,Apartment,3,2,2,,,,https://www.realestate.com.au/property/903-5-second-avenue-blacktown-nsw-2148,"903/5 Second Avenue — 3-bed, 2-bath, apartment, 2 car spaces."
Blacktown,2026-08-22,1900000,House,7,4,6,739.8,,,https://www.realestate.com.au/property/13-lancaster-street-blacktown-nsw-2148,"13 Lancaster Street — 7-bed, 4-bath, house, 6 car spaces, 739.8 m² reported area."
Blacktown,2026-08-21,481000,Unit,2,2,1,,,,https://www.realestate.com.au/property/17-3-5-bruce-street-blacktown-nsw-2148,"17/3-5 Bruce Street — 2-bed, 2-bath, unit, 1 car space."
Blacktown,2026-08-21,435000,Unit,2,2,1,,122,,https://www.realestate.com.au/property/79-21-29-third-avenue-blacktown-nsw-2148,"79/21-29 Third Avenue — 2-bed, 2-bath, unit, 1 car space, 122 m² reported area."
Blacktown,2026-08-20,1235000,House,4,2,6,556,,,https://www.realestate.com.au/property/6-garden-street-blacktown-nsw-2148,"6 Garden Street — 4-bed, 2-bath, house, 6 car spaces, 556 m² reported area."
Blacktown,2026-08-20,435000,Apartment,2,1,1,,,,https://www.realestate.com.au/property/41-25-mantaka-street-blacktown-nsw-2148,"41/25 Mantaka Street — 2-bed, 1-bath, apartment, 1 car space."
Blacktown,2026-08-18,950000,House,3,1,1,562.7,,,https://www.realestate.com.au/property/94-lancelot-street-blacktown-nsw-2148,"94 Lancelot Street — 3-bed, 1-bath, house, 1 car space, 562.7 m² reported area."
Blacktown,2026-08-18,880000,House,3,1,2,569.1,,,https://www.realestate.com.au/property/41-dagmar-crescent-blacktown-nsw-2148,"41 Dagmar Crescent — 3-bed, 1-bath, house, 2 car spaces, 569.1 m² reported area."
Blacktown,2026-08-17,1000000,House,3,2,2,,,,https://www.realestate.com.au/property/5-ajax-place-blacktown-nsw-2148,"5 Ajax Place — 3-bed, 2-bath, house, 2 car spaces."
Blacktown,2026-08-17,910000,House,3,1,1,,,,https://www.realestate.com.au/property/41-anthony-street-blacktown-nsw-2148,"41 Anthony Street — 3-bed, 1-bath, house, 1 car space."
Blacktown,2026-08-17,465000,Apartment,2,2,3,,,,https://www.realestate.com.au/property/49-8-18-wallace-street-blacktown-nsw-2148,"49/8-18 Wallace Street — 2-bed, 2-bath, apartment, 3 car spaces."
Blacktown,2026-08-13,380000,Unit,1,1,1,,,,https://www.realestate.com.au/property/2-31-third-avenue-blacktown-nsw-2148,"2/31 Third Avenue — 1-bed, 1-bath, unit, 1 car space."
Blacktown,2026-03-12,395000,Apartment,1,1,1,,,,https://www.realestate.com.au/property/1808-5-second-avenue-blacktown-nsw-2148,"1808/5 Second Avenue — 1-bed, 1-bath, apartment, 1 car space."
